designation,ra,ra_error,dec,dec_error,l,b
"Gaia DR2 3206839363080536320",79.51376938930133,0.04415351780126031,-7.910813188728326,0.0367661953304055,209.37759285176253,-24.335829533077902
"Gaia DR2 3206824931990427392",79.61470387273643,0.05025015174266051,-8.04516844793052,0.04517190115979091,209.5583304293226,-24.305540313207302
"Gaia DR2 3206825756624148352",79.59447120912459,0.32346567518979413,-8.027671317562422,0.31036635054653133,209.5313973071871,-24.315790125109572
"Gaia DR2 3206843486249142016",79.44646920286739,0.14973611169065584,-7.863530980206834,0.1405110058612543,209.29866470872906,-24.37468115151384
"Gaia DR2 3206759369313125760",79.79310934244755,0.546924561206596,-8.377901313079237,0.4673547232896328,209.97141881950637,-24.293518335714626
"Gaia DR2 3206821633455545600",79.66255762813827,0.03443754802976962,-8.091704987131699,0.03187227563031768,209.62708827725456,-24.28355990258555
"Gaia DR2 3206818811660636928",79.69690596100301,0.38528378176730665,-8.1498443160579,0.3698816981542018,209.70078322649323,-24.27867545509132
"Gaia DR2 3206842661615421952",79.46463081570984,0.24071666247531637,-7.882529048702319,0.2378164660420436,209.32610966358862,-24.36696041508414
"Gaia DR2 3206752123703301504",79.88189101154333,1.010248169113901,-8.442222933989246,0.861745414113565,210.07710428142715,-24.242840383128073
"Gaia DR2 3206842661615422720",79.45452742078247,0.5438991136457285,-7.875992470439201,0.46303613311688285,209.3148115242712,-24.373040933522795
"Gaia DR2 3206821216844181760",79.7785309985423,0.4876682027596459,-8.067389856778517,0.45057012550488534,209.65870636493287,-24.169788216717127
"Gaia DR2 3206842386737515648",79.48461754742769,0.0736284601561257,-7.902578109910616,0.06848598471268583,209.35546394359832,-24.358080459948944
"Gaia DR2 3206838263568910336",79.5520183587746,0.2544199074227426,-7.959810054368953,0.26010313787063155,209.4442072751904,-24.3235210902975
"Gaia DR2 3206821221138845440",79.77057961696552,0.07680769950558482,-8.059298465325575,0.07270467886869333,209.64693992861802,-24.173283248642576
"Gaia DR2 3206824725831998976",79.6306046171553,0.016268150772999385,-8.063048911946758,0.015746345145011578,209.58355982847792,-24.299305700484172
"Gaia DR2 3206821564736062592",79.6849505102195,0.21702658568060362,-8.074608536016855,0.20257787637057692,209.620987392574,-24.256121182927245
"Gaia DR2 3206819876813042432",79.64111377838879,0.20439440496472105,-8.1283244630382,0.18871711795834162,209.65287637668524,-24.31876324468212
"Gaia DR2 3206741747064163456",79.96449088008303,0.04351242722270678,-8.541957125497236,0.03906798331095877,210.21467468611806,-24.21313577541859
"Gaia DR2 3206821702175020160",79.65116372566361,0.018221263331739485,-8.074017302232816,0.016828864503689846,209.6042140960777,-24.285879698287378
"Gaia DR2 3206842421097255168",79.46885218209384,0.08775168725811962,-7.897719398240785,0.08408017259535688,209.343095073267,-24.369933961390362
"Gaia DR2 3206818983459331200",79.66631677414654,0.08358991167219511,-8.147178430323496,0.07552911127651844,209.68351521831096,-24.304680958120937
"Gaia DR2 3206818983459330816",79.67816344080993,1.1399644344714084,-8.147466243189182,0.9918017886345416,209.6894700669025,-24.294281334556242
"Gaia DR2 3206821736534754816",79.6746338415782,0.256862521460615,-8.06738015286898,0.2418315848215114,209.60892882737107,-24.26209801316316
"Gaia DR2 3206741747064163584",79.95920584455216,0.5359589260187712,-8.543077142723776,0.45873989070852866,210.21326847662533,-24.218324704663274
"Gaia DR2 3206826168941003520",79.5974969427086,0.022004926268499585,-7.993958262402632,0.02026527967437208,209.49966140734742,-24.298210871567584
"Gaia DR2 3206820740102518144",79.71619934684482,0.39185053675301657,-8.09310507367737,0.34700299566789283,209.6541615207851,-24.236515739699403
"Gaia DR2 3206821564736061440",79.69329387218127,0.11589980186794083,-8.072132222747348,0.10858334403406202,209.62254765210622,-24.24761547151831
"Gaia DR2 3206825894063097216",79.61559628130486,0.6594189087176783,-8.012474285607539,0.5833852101063633,209.52657349190247,-24.29031064915042
"Gaia DR2 3206821839613969024",79.67288915293518,0.02275673072279109,-8.059741586592143,0.02104482837748248,209.60057409063023,-24.26027725544796
"Gaia DR2 3206820740102518656",79.71232574681319,0.024426973216440814,-8.095411645737501,0.02364855851389231,209.65457670430573,-24.2409749161535
"Gaia DR2 3206820671383041792",79.72380125375082,0.04754022555691451,-8.10297970692442,0.04477503408155664,209.66752056224402,-24.23411626539077
"Gaia DR2 3206839122562372352",79.50510737927247,0.3881513337742546,-7.937721536845373,0.3334912891229245,209.39991577661777,-24.35542633913819
"Gaia DR2 3206824828911208832",79.64507339050505,0.054775367320015575,-8.044880474426309,0.05146417859746305,209.57261130736478,-24.27843131746716
"Gaia DR2 3206825035069638784",79.62968216567936,0.07772228416769467,-8.030044381760103,0.07191072204013288,209.5506260230666,-24.28555554227836
"Gaia DR2 3206838126129962112",79.53231484761278,0.018147997897853815,-7.974421246345542,0.016560228137170487,209.4491249786367,-24.347483138320953
"Gaia DR2 3206837851252055040",79.55539318627191,0.017890197457359133,-7.9940980929545615,0.016320863133890452,209.47958374662613,-24.33567688643901
"Gaia DR2 3206820220409906688",79.71073318136038,0.3349553625413764,-8.153466755848072,0.28371214736965544,209.71096753156783,-24.26798535697204
"Gaia DR2 3206825928422836864",79.60181914162129,0.5409781786238835,-8.006869926042457,0.4825088164023691,209.5144453899097,-24.300074971266188
"Gaia DR2 3206820671383040896",79.73563745141004,0.01609369300902521,-8.10426064453384,0.015669604961109817,209.674448046577,-24.224164135733524
"Gaia DR2 3206825859703360256",79.6067248534052,0.029328801843092094,-8.011910014659506,0.027984736818520786,209.5217609830112,-24.297942925787243
"Gaia DR2 3206820671383040512",79.7345827459369,1.4854244346083834,-8.103068143771559,1.2121403697980284,209.67276948757356,-24.224575411046615
"Gaia DR2 3206771365157876224",79.70292969149628,3.047371598444847,-8.214109424157494,4.912932984138187,209.7669617078796,-24.301633169279018
"Gaia DR2 3206820220409906048",79.71810870121597,0.5136299801650656,-8.153796619505341,0.46685912909144234,209.71482160230354,-24.261576957765577
"Gaia DR2 3206825859703360512",79.60858190489473,0.45779455323542395,-8.013641077846845,0.6924880764459727,209.5243561361073,-24.297057673058813
"Gaia DR2 3206837919971530880",79.53733005227727,0.32690060040572916,-7.976708567912769,0.30764378966478384,209.4537864836817,-24.34403885702204
"Gaia DR2 3206838126129961856",79.53008671857273,0.14141857022377888,-7.971270475012813,0.13126379933249036,209.4449522497651,-24.348069825681584
"Gaia DR2 3206753017057155712",79.93674348095074,1.181101472470898,-8.366890051547449,1.3082265808705404,210.02900782391725,-24.161017020552915
"Gaia DR2 3206819881108895360",79.63770900540213,0.026412168234057374,-8.1215176056964,0.024599019854249667,209.644541143494,-24.31878706187025
